,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species/taxa,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link,Fasciculates with,CellSomaShape,CellSomaSize,Located in,SpineDensityOnDendrites,DendriteLocation,BranchingMetrics,AxonMyelination,AxonProjectionLaterality,LocationOfAxonArborization,LocationOfLocalAxonArborization,OriginOfAxon,Neurotransmitter/NeurotransmitterReceptors,MolecularConstituents,Curator_Notes,Phenotypes: ilx:has_location_phenotype,Notes
:Category:Pb-eb-eb neuron,Pb-eb-eb neuron,,nlx_147379,,,Small field neuron of the central complex,:Category:Drosophila,A small field neuron of the adult central complex that innervates only the protocerebral bridge and two sectors of the ellipsoid body.,,,:Category:Pb-eb-eb neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003645,,,,,,,,,,,,,,,,,
:Category:Pb-eb-no neuron,Pb-eb-no neuron,CCI (pb-eb-no1),nlx_147380,,,Small field neuron of the central complex,:Category:Drosophila,"A small field neuron of the adult central complex that innervates only the protocerebral bridge, the ellipsoid body and the ipsilateral nodulus.",,,:Category:Pb-eb-no neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003646,,,,,,,,,,,,,,,,,
:Category:Pb-fb-eb neuron,Pb-fb-eb neuron,,nlx_147381,,,Small field neuron of the central complex,:Category:Drosophila,"A small field neuron of the adult central complex that innervates only the protocerebral bridge, the ellipsoid body and the fan-shaped body.",,,:Category:Pb-fb-eb neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003647,,,,,,,,,,,,,,,,,
:Category:Pb-fb-fb neuron,Pb-fb-fb neuron,,nlx_147378,,,Small field neuron of the central complex,:Category:Drosophila,A small field neuron of the adult central complex that innervates only the protocerebral bridge and either two adjacent segments of one layer of the fan-shaped body or adjacent layers of a single segment.,,,:Category:Pb-fb-fb neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003644,,,,,,,,,,,,,,,,,
:Category:Pb-no neuron,Pb-no neuron,CCI (pb-no1),nlx_147377,,,Small field neuron of the central complex,:Category:Drosophila,A small field neuron of the adult central complex that innervates only the protocerebral bridge and the noduli.,,,:Category:Pb-no neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003643,,,,,,,,,,,,,,,,,
:Category:Pdf neuron,Pdf neuron,pigment-dispersing hormone-immunoreactive neuron,nlx_147480,,,Neurosecretory neuron,:Category:Drosophila,"Neuron that expresses Pigment-dispersing factor, Pdf (FBgn0023178).",,,:Category:Pdf neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003761,,,,,,,,,,,,,,,,,
:Category:Pdf neuron close to calyx,Pdf neuron close to calyx,,nlx_147484,,,Adult Pdf neuron,:Category:Drosophila,0,,,:Category:Pdf neuron close to calyx,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003765,,,,,,,,,,,,,,,,,
:Category:Pdf neuron close to tritocerebrum,Pdf neuron close to tritocerebrum,,nlx_147485,,,Adult Pdf neuron,:Category:Drosophila,"Neuron located anteroventrally to the tritocerebrum that expresses Pdf (FBgn0023178) strongly until 24hrs after eclosion, after which Pdf immunoreactivity in the soma disappears. Within 2-4 days post-eclosion, Pdf immunoreactivity is also lost from the arborizations.",,,:Category:Pdf neuron close to tritocerebrum,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003766,,,,,,,,,,,,,,,,,
:Category:Pdf neuron of abdominal neuromere,Pdf neuron of abdominal neuromere,,nlx_147800,,,Adult Pdf neuron,:Category:Drosophila,"Pdf positive neuron whose soma is located in the cortex of the fused adult abdominal ganglia. There are 4-6 of these, all of which project posteriorly, fasciculating with the abdominal nerve trunk.",,,:Category:Pdf neuron of abdominal neuromere,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004100,Abdominal nerve trunk,,,,,,,,,,,,,,,,
:Category:Peptidergic neuron,Peptidergic neuron,,nlx_147801,,,Neuron,:Category:Drosophila,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some peptide (CHEBI:16670).",,,:Category:Peptidergic neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004101,,,,,,,,,,,,,,,,,
:Category:Peripherally synapsing interneuron,Peripherally synapsing interneuron,,nlx_148109,,,Interneuron (FBbt Term),:Category:Drosophila,0,,,:Category:Peripherally synapsing interneuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007408,,,,,,,,,,,,,,,,,
:Category:Photoreceptor cell (FBbt Term),Photoreceptor cell (FBbt Term),,nlx_147815,,,Sensory neuron (FBbt Term),:Category:Drosophila,,,,:Category:Photoreceptor cell (FBbt Term),,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004211,,,,,,,,,,,,,,,,,
:Category:Photoreceptor cell of Bolwig organ,Photoreceptor cell of Bolwig organ,photoreceptor cell of Bolwig''s organ,nlx_148046,,,Photoreceptor cell (FBbt Term),:Category:Drosophila,"Photoreceptor cell that is part of a Bolwig's organ. Unlike the photoreceptors of the adult eye, eyelet and ocellus, these photoreceptors do not contain rhabdomeres, but instead have apical surfaces which are folded into numerous microtubule containing lamellae.",,,:Category:Photoreceptor cell of Bolwig organ,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007253,,,,,,,,,,,,,,,,,
:Category:Pioneer neuron,Pioneer neuron,,nlx_147832,,,Neuron,:Category:Drosophila,,,,:Category:Pioneer neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00005128,,,,,,,,,,,,,,,,,
:Category:Posteriolateral neurosecretory cell,Posteriolateral neurosecretory cell,,nlx_147722,,,Neurosecretory cell,:Category:Drosophila,,,,:Category:Posteriolateral neurosecretory cell,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004012,,,,,,,,,,,,,,,,,
:Category:Posterior fascicle sensory neuron,Posterior fascicle sensory neuron,,nlx_146756,,,Sensory neuron (FBbt Term),:Category:Drosophila,Any sensory neuron (FBbt_00005124) that fasciculates with some segmental nerve (FBbt_00002037).,,,:Category:Posterior fascicle sensory neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002038,Segmental nerve,,,,,,,,,,,,,,,,
:Category:PreBotzinger complex neuron,PreBotzinger complex neuron,,nlx_151905,,,Neuron,:Category:Vertebrata,,,,,,,,,,:Category:PreBotzinger complex,,,,,,,,,,,,ilx:has_location_phenotype PreBotzinger complex,
:Category:Projection neuron (FBbt Term),Projection neuron (FBbt Term),,nlx_148097,,,Extrinsic neuron,:Category:Drosophila,An interneuron that projects from some primary sensory neuropil (e.g. the antennal lobe) to a higher brain neuropil.,,,:Category:Projection neuron (FBbt Term),,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007392,,,,,,,,,,,,,,,,,
:Category:Prothoracic gland innervating neuron,Prothoracic gland innervating neuron,,nlx_148148,,,Neuron,:Category:Drosophila,Any neuron (FBbt_00005106) that has synaptic terminals in some prothoracic gland (FBbt_00001724).,,,:Category:Prothoracic gland innervating neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007458,,,,,,,,,,,,,,,,,
:Category:Prothoracic ventral neurosecretory neuron,Prothoracic ventral neurosecretory neuron,,nlx_147768,,,Neurosecretory neuron,:Category:Drosophila,0,,,:Category:Prothoracic ventral neurosecretory neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004058,,,,,,,,,,,,,,,,,
:Category:Protocerebral bridge lateral neuron PBl,Protocerebral bridge lateral neuron PBl,,nlx_148214,,,Large field neuron of the central complex,:Category:Drosophila,"Large field neuron of the central complex that is intrinsic to the protocerebral bridge. Its fiber enters the protocerebral bridge laterally and arborizes in all 16 glomeruli. The soma of these neurons are located in the posterior cortex, medial and ventral to the Kenyon cell soma.",,,:Category:Protocerebral bridge lateral neuron PBl,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007539,,,,,,,,,,,,,,,,,
:Category:Pupal DN period neuron,Pupal DN period neuron,,nlx_148536,,,Pupal pacemaker neuron,:Category:Drosophila,A Per (FBgn0003068) expressing neuron that is located in a dorsoanterior cluster in the pupal brain.,,,:Category:Pupal DN period neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100186,,,,,,,,,,,,,,,,,
:Category:Pupal DN1 period neuron,Pupal DN1 period neuron,,nlx_148537,,,Pupal DN period neuron,:Category:Drosophila,,,,:Category:Pupal DN1 period neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100187,,,,,,,,,,,,,,,,,
:Category:Pupal DN2 period neuron,Pupal DN2 period neuron,,nlx_148538,,,Pupal DN period neuron,:Category:Drosophila,,,,:Category:Pupal DN2 period neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100188,,,,,,,,,,,,,,,,,
:Category:Pupal DN3 period neuron,Pupal DN3 period neuron,,nlx_148539,,,Pupal DN period neuron,:Category:Drosophila,,,,:Category:Pupal DN3 period neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100189,,,,,,,,,,,,,,,,,
:Category:Pupal LN period neuron,Pupal LN period neuron,,nlx_148535,,,Pupal pacemaker neuron,:Category:Drosophila,Laterally located period (FBgn0003068) expressing neuron of the pupal brain.,,,:Category:Pupal LN period neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100185,,,,,,,,,,,,,,,,,
:Category:Pupal Pdf negative s-LNv neuron,Pupal Pdf negative s-LNv neuron,,nlx_148530,,,Pupal s-LNv neuron,:Category:Drosophila,"Pupal s-LNv neuron that does not express Pdf (FBgn0023178) (Kaneko et al., 1997). There is only one of these per ventral cluster of LN period neurons.",,,:Category:Pupal Pdf negative s-LNv neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100180,,,,,,,,,,,,,,,,,
:Category:Pupal Pdf neuron,Pupal Pdf neuron,,nlx_148522,,,Pdf neuron,:Category:Drosophila,Pdf expressing neuron that is part of the pupa.,,,:Category:Pupal Pdf neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100172,,,,,,,,,,,,,,,,,
:Category:Pupal Pdf neuron close to calyx,Pupal Pdf neuron close to calyx,,nlx_148525,,,Pupal Pdf neuron,:Category:Drosophila,Neuron of the pupa that is located dorsoanterior to the calyx of the mushroom body and that expresses Pdf (FBgn0023178).,,,:Category:Pupal Pdf neuron close to calyx,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100175,,,,,,,,,,,,,,,,,
:Category:Pupal Pdf neuron close to tritocerebrum,Pupal Pdf neuron close to tritocerebrum,,nlx_148526,,,Pupal Pdf neuron,:Category:Drosophila,Pupal Pdf expressing neuron whose soma is located in a cluster antero-ventral the tritocerebrum. There are 2-4 of these per cluster.,,,:Category:Pupal Pdf neuron close to tritocerebrum,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100176,,,,,,,,,,,,,,,,,
:Category:Pupal antennal lobes tachykinin neuron,Pupal antennal lobes tachykinin neuron,pupal LPP2 neuron,nlx_149001,,,Pupal tachykinin neuron of the central nervous system,:Category:Drosophila,"Pupal neuron that expresses tachykinin (FBgn0037976), whose cell body is located in the cortex of the antennal lobes (Winther et al., 2003).",,,:Category:Pupal antennal lobes tachykinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110042,,,,,,,,,,,,,,,,,
:Category:Pupal large descending DN tachykinin neuron,Pupal large descending DN tachykinin neuron,pupal tachykinin DN neuron,nlx_148997,,,Pupal tachykinin neuron of the central nervous system,:Category:Drosophila,"Pupal neuron that expresses tachykinin (FBgn0037976), whose cell body is located in the lateral protocerebrum and that innervates the ventral nerve cord (Winther et al., 2003).",,,:Category:Pupal large descending DN tachykinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110038,,,,,,,,,,,,,,,,,
:Category:Pupal pacemaker neuron,Pupal pacemaker neuron,,nlx_148515,,,Pacemaker neuron,:Category:Drosophila,Pacemaker neuron that is part of the pupa.,,,:Category:Pupal pacemaker neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100165,,,,,,,,,,,,,,,,,
:Category:Pupal protocerebral LPP2 tachykinin neuron,Pupal protocerebral LPP2 tachykinin neuron,pupal LPP2 neuron,nlx_148999,,,Pupal tachykinin neuron of the central nervous system,:Category:Drosophila,"Pupal neuron that expresses tachykinin (FBgn0037976), whose cell body is located in the lateral posterior protocerebrum and that innervates the superior median protocerebrum and fan-shaped body (Winther et al., 2003).",,,:Category:Pupal protocerebral LPP2 tachykinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110040,,,,,,,,,,,,,,,,,
:Category:Pupal s-LNv neuron,Pupal s-LNv neuron,,nlx_148529,,,Pupal LN period neuron,:Category:Drosophila,"Larval neuron of the period-expressing LNv cluster, with a small cell body and generally located more dorsally than the l-LNv neurons. There are 5 cells present in each cluster, all except one of which express Pdf (FBgn0023178).",,,:Category:Pupal s-LNv neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100179,,,,,,,,,,,,,,,,,
:Category:Pupal tachykinin neuron of the central nervous system,Pupal tachykinin neuron of the central nervous system,,nlx_149021,,,Tachykinin neuron,:Category:Drosophila,"Pupal neuron that expresses tachykinin (FBgn0037976) and that is located in the central nervous system (Winther et al., 2003).",,,:Category:Pupal tachykinin neuron of the central nervous system,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110062,,,,,,,,,,,,,,,,,
:Category:Retina B ganglion cell,Retina B ganglion cell,Retina ganglion cell B,BAMSC1010,9268130,Huxlin and Goodchild,Retina ganglion cell,:Category:Vertebrata,"Sixty to eight neurons with small somata (12 to 24 micrometers in diameter), small dendritic fields (99 to 289 micrometers in diameter), and small axonal diameters (04. to 07. micrometers in diameter) make up Group RGB.We classified cells with a large soma and a large dendritic field as RGA, cells with a small to  to medium to sized soma and a small to  to medium to sized dendritic field as RGB, and cells with a small to  to medium to sized soma but a medium to to to large dendritic field RGC.",,,,,,,,,,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_classification_phenotype B",
:Category:Retina C ganglion cell,Retina C ganglion cell,Retina ganglion cell C,BAMSC1011,9268130,Huxlin and Goodchild,Retina ganglion cell,:Category:Vertebrata,"Group RGC cells are defined as having small to to to medium cell bodies and medium to to to large dendritic fields. Their morphology was more heterogeneous than that of Groups RGA and RGB. We classified cells with a large soma and a large dendritic field as RGA, cells with a small to  to medium to sized soma and a small to  to medium to sized dendritic field as RGB, and cells with a small to  to medium to sized soma but a medium to to to large dendritic field RGC.",,,,,,,,,,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_classification_phenotype C",
:Category:Retina Giant-Melanopsin Ganglion Cell,Retina Giant-Melanopsin Ganglion Cell,Retina Ganglion Cell Giant-Melanopsin,nlx_144277,,,Neuron,:Category:Vertebrata,Recently discovered primate ganglion cell that expresses Melanopsin.  Intrinsically photo-sensitive. Morphologically has dendritic arborization that is much wider than the Parasols.  Thought to be involved in Pupillary responses.,,,,,,,,,,,,,,,":Category:Pretectum,:Category:Lateral geniculate nucleus",,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_expression_phenotype melanopsin , ilx:has_morphological_phenotype giant",
:Category:Retina Off-Midget Ganglion Cell,Retina Off-Midget Ganglion Cell,"P Cell,Retina Ganglion Cell Off-Midget",nlx_144275,,,Neuron,:Category:Vertebrata,Physiologically classified as the main ganglion cells with small receptive fields driven by center-off input. Matched with morphologically defined cell of extremely small dendritic arborization. As a population forms both a physical mosaic within retina as well as a receptive field mosaic of stimulus space. Both receptive field size and dendritic arborization are distinct from the corresponding On-Midget.,,,,,,,,,,,,,,,:Category:P-Layer of Lateral Geniculate Nuclues,,,,,"Category:P-Layer of Lateral Geniculate Nuclues, page DNE (and there is a typo)","ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_morphological_phenotype midget , ilx:has_experimental_phenotype off",
:Category:Retina Off-Upsilon Ganglion Cell,Retina Off-Upsilon Ganglion Cell, ,nlx_144269,,"J Neurosci. 2007 Oct 10,27(41):11019-27.",Neuron,:Category:Vertebrata,"Physiologically defined Primate Ganglion Cell.  Characterized by large receptive fields, highly non-linear spatial summation and highly transient OFF response to diffuse light.   No known Morphological counterpart.",,,,Y-Like RGC,,,,,:Category:Retina ganglion cell layer,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_experimental_phenotype off , ilx:has_classification_phenotype upsilon",
:Category:Retina On-Midget Ganglion Cell,Retina On-Midget Ganglion Cell,"P-Cell,Retina Ganglion Cell On-Midget",nlx_144271,,,Neuron,:Category:Vertebrata,"Physiologically classified as the main ganglion cells with small receptive fields driven by center-On input.  Matched with morphologically defined cell of extremely small dendritic arborization.  As a population forms both a physical mosaic within retina as well as a receptive field mosaic of stimulus space.

Both receptive field size and dendritic arborization are distinct from the corresponding Off-Midget",,:Category:Principal neuron role,,,,,Category:Spherical ,Medium soma,:Category:Retina ganglion cell layer,:Category:Smooth,:Category:Retina inner plexiform layer,multipolar,myelinated,bilateral,:Category:Lateral geniculate nucleus parvocellular layer,:Category:None,soma,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_circuit_role_phenotype principal , ilx:has_experimental_phenotype on , ilx:has_morphological_phenotype midget",
:Category:Retina On/Off-Parasol Ganglion Cell,Retina On/Off-Parasol Ganglion Cell,"M-Cells,Retina Ganglion Cell On/Off-Parasol",nlx_144276,,,Neuron,:Category:Vertebrata,"Along with the On/Off-Midget cells, the Parasols form the majority of the Retina Ganglion Cells.  Receptive fields and dendritic arborization are both larger than the Midget Cells.  Highly sensitive to contrast. The On and Off Cells have slightly different receptive field size as well as a difference in Dendrite location.",,,,,,,,,,,,,,,:Category:M-Layer of Lateral Geniculate Nucleus,,,,,"Category:M-Layer of Lateral Geniculate Nucleus, page DNE","ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_experimental_phenotype on , ilx:has_experimental_phenotype off , ilx:has_morphological_phenotype parasol",the two experimental phenotypes are an or relationship
:Category:Retina Retina narrow-field AII amacrine cell,Retina Retina narrow-field AII amacrine cell,,nlx_152143,,,Neuron,:Category:Mammal,"This subtype of amacrine (no axon) cell ""sends a thick stalk to the ON level of the inner plexiform layer where it arborizes richly to collect chemical synapses from rod bipolar terminals"" (Sterling and Demb, Syn Org of the Brain, p. 223).  It also has numerous gap junctions with cone ON bipolar cell terminals.",,:Category:Intrinsic neuron role,,,,,Category:Oval ,Medium soma,:Category:Retinal inner nuclear layer,:Category:Smooth,:Category:Retinal inner plexiform layer,multipolar,,,:Category:NA,:Category:NA,no axon,,,"Typo on ""Retina"", was entered correctly in ontology, there is a duplicate ""Retina"" in the Neuron name, was not fixed in ontology","ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001791 , ilx:has_circuit_role_phenotype intrinsic , ilx:has_morphological_phenotype amacrine , ilx:has_experimental_phenotype narrow-field , ilx:has_classification_phenotype AII",
:Category:Retina amacrine cell,Retina amacrine cell,"Amacrine Neuron type II,Type II Amacrine cell",nifext_36,,,Neuron,:Category:Vertebrata,"Cell in the inner plexiform layer of the retina, consisting of multiple dendrites and no axon.  It makes synaptic connections with bipolar cell terminals and ganglion cell dendrites, as well as other amacrine cell dendrites.  Amacrine II cells have gap junctions with bipolar terminals and other amacrine cells, which are switched on for night time vision.",,:Category:Intrinsic neuron role,,AC,,,Category:Multipolar ,Medium soma,:Category:Retina inner plexiform layer,:Category:Smooth,:Category:Retina inner plexiform layer,multipolar,,,:Category:NA,:Category:NA,no axon,,,"Typo on ""inner"", was entered correctly in ontology. ","ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001795 , ilx:has_morphological_phenotype amacrine , ilx:has_circuit_role_phenotype intrinsic",
:Category:Retina bipolar cell,Retina bipolar cell,"Retinal Bipolar Neuron,retinal bipolar cell",nifext_31,,,Neuron,:Category:Vertebrata,Small cell in the retina with one peripheral process connecting to terminals of photoreceptors and horizontal cells and the other process connecting to dendrites of ganglion cells and amacrine cells.  It provides the straight-through pathway for visual responses from photoreceptors to ganglion cells.  Several varieties are related to specific processing pathways.  O,,:Category:Intrinsic neuron role,,BPC,,,Category:Spherical ,Small soma,:Category:Retina inner nuclear layer,:Category:Smooth,,unipolar,unmyelinated,ipsilateral,:Category:Retina inner plexiform layer,:Category:Retina inner plexiform layer,soma,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001791 , ilx:has_morphological_phenotype bipolar , ilx:has_circuit_role_phenotype intrinsic",
:Category:Retina bipolar cell off,Retina bipolar cell off,Off cell,nifext_33,,,Retina bipolar cell,Category:Vertebrata,,,,,,,,,,,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_morphological_phenotype bipolar, ilx:has_experimental_phenotype off",
:Category:Retina bipolar cell on,Retina bipolar cell on,On cell,nifext_32,,,Retina bipolar cell,:Category:Vertebrata,,,,,,,,,,,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_morphological_phenotype bipolar , ilx:has_experimental_phenotype on",
:Category:Retina bistratified amacrine cell,Retina bistratified amacrine cell,bistratified amacrine cell,BAMSC1055,6158054,Perry and Walker 1980,Retina stratified amacrine cell,:Category:Vertebrata,"Collator note: bistratified amacrine cells are not explicitly defined by Perry and Walker. Perry and Walker describe three types of bistratified amacrine cells, having thef dendrites or spines distributed in two strata as the common character.",,,,,,,,,,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_morphological_phenotype amacrine , ilx:has_morphological_phenotype bistratified",
:Category:Retina displaced amacrine cell,Retina displaced amacrine cell,"Displaced amacrine cell,Retina amacrine cell displaced",nifext_39,,,Retina amacrine cell,:Category:Vertebrata,,,,,,,,,,,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_morphological_phenotype amacrine , ilx:has_layer_location_phenotype displaced",look at actual location for layer location phenotype
:Category:Retina ganglion cell,Retina ganglion cell,"Retinal Ganglion Neuron,Retinal ganglion cell",nifext_17,,,Neuron,:Category:Vertebrata,"The main principal neuron of the retina, whose axon projects to several sites in the brain: lateral geniculate nucleus on the pathway to visual cortex, superior colliculus and suprachiasmatic nucleus.  It receives input from bipolar cells, and has synaptic inputs",,,,RGC,,,Category:Spherical ,Large soma,":Category:Retina,:Category:Retina ganglion cell layer",:Category:Smooth,,multipolar,myelinated,bilateral,":Category:Suprachiasmatic nucleus,:Category:Brachium of superior colliculus,:Category:Superior colliculus,:Category:Lateral geniculate nucleus",,soma,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 ",
:Category:Retina ganglion cell B1,Retina ganglion cell B1,retinal ganglion cell B1,BAMSC1047,9268130,Huxlin and Goodchild 1997,Retina ganglion cell B,:Category:Vertebrata,"Twenty to six neurons were defined as RGB1 cells (Fig. 8A, Table1). One of their characteristic features is the fact that the cell body always lies outside within the confines of the dendritic tree. They have the highest eccentricity of body relative to dendritic field of all ganglion cell identified. The majority of RGB1 cells analysed stratify diffusely within the IPL; nevertheless, their dendritic trees are centred in either the on to  or the off to  sublaminae of the IPL (Table 1). RGB1 cells were found across the retina. 1 cells had curvy but generally radially branching dendrites (Fig. 5A). They ramified in the outer IPL close to the middle.",,,,,,,,,":Category:Retina,:Category:Ganglion cell layer",,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_classification_phenotype B",
:Category:Retina ganglion cell B2,Retina ganglion cell B2,retinal ganglion cell B2,BAMSC1048,9268130,Huxlin and Goodchild 1997,Retina ganglion cell B,:Category:Vertebrata,"Fourteen neurons were defined as RGB2 cells (Figs. 2D, 8B). These cells are easy to distinguish by the very dense nature of their small dendritic trees. This high density is due to frequent, irregular branching of fine dendrites, which curve, twist, and overlap extensively (Fig. 2D). Their cell body is generaly located well within the confines of the dendritic tree. RGB2 cells were found across the retina (Fig. 9). RGB2 cells had a very small but very dense dendritic field (Fig. 5B), featuring numerous tiny branches bearing spines. They ramified almost in the middle of the IPL.",,,,,,,,,":Category:Retina,:Category:Ganglion cell layer",,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_classification_phenotype B2",
:Category:Retina ganglion cell B3,Retina ganglion cell B3,retinal ganglion cell B3,BAMSC1049,9268130,Huxlin and Goodchild 1997,Retina ganglion cell B,:Category:Vertebrata,"Twenty to four cells were defined as RGB3 cells (Fig. 8C). The shape and branching patterns of their dendritic trees resemble those of RGA2 cells, although dendritic fields are much smaller. The somata are centrally located within the dendritic field. RGB3 cells show a greater range in dendritic field sizes than other RGB subgroups (Fig. 9), which suggests further heteronegeitiy. RGB3 cells had curvy, recursive dendrites, forming a relatively sparse dendritic field (Fig. 5C).",,,,,,,,,":Category:Retina,:Category:Ganglion cell layer",,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_classification_phenotype B3",
:Category:Retina ganglion cell C others,Retina ganglion cell C others,retinal ganglion cell C others,BAMSC1051,9268130,Huxlin and Goodchild 1997,Retina ganglion cell C,:Category:Vertebrata,"The Group RGc cells, as mentioned above, are a heterogeneous population: we labelled several neurons that could not be classified as RGC1 or RGC2. Includes previously described exmples of Type III or Class III cells (Perry, 1979, Dreher et al., 1985), with their small somata and, in some cases, very large dendritic fields.",,,,,,,,,":Category:Retina,:Category:Ganglion cell layer",,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 ",Delete this neuron
:Category:Retina ganglion cell C1,Retina ganglion cell C1,retinal ganglion cell C1,BAMSC1050,9268130,Huxlin and Goodchild 1997,Retina ganglion cell C,:Category:Vertebrata,"Five RGc1 cells were labelled that have small somata and large asymmetrical dendritic fields (Figs. 10A, 12). Although only a small number of them were labelled, they resemble the medial terminal nucleus (MTN) to projecting cells described by Dann and Buhl (1987). Compared with neurons in Group RGA, RGC1 cells have smaller cell bodies, a higher density of dendritic branching, and usually asymmetrical dendritic fields. The RGC1 cells exhibited smooth, small caliber, recursive dendrites extending from large primary ones. Dendritic field was of medium density (Fig. 6A). The RGC1 stratified mostly in the inner IPL. Their morphology is very similar to the MTN to projecting cells characterized by Dann and Buhl (1987).",,,,,,,,,":Category:Retina,:Category:Ganglion cell layer",,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000966 , ilx:has_layer_location_phenotype UBERON:0001792 , ilx:has_classification_phenotype C1",
