,Synonym,Label,Id,Definition,ExternallySourcedDefinition,Comment,Synonym,Species,PartiallyOverlapsWith,Is part of,Has role,RelatedTo,Category,SuperCategory
:Category:Supraoptic nucleus,,Supraoptic nucleus,birnlex_1411,"Well defined nucleus containing large cells in the anterior hypothalamus located above the beginning of the optic tract on both sides of the brain.  At its most anterior end, it is situated above and lateral to the optic chiasm.",,,supraoptic nucleus of hypothalamus,:Category:Mammal,,:Category:Anterior hypothalamic region,,,:Category:Regional part of brain,Regional part of brain
:Category:Supraopticohypophysial tract,,Supraopticohypophysial tract,birnlex_1440,,,,,,,":Category:White matter,:Category:Anterior hypothalamic region",,,:Category:Nerve tract,Nerve tract
:Category:Supraspinal nucleus,,Supraspinal nucleus,birnlex_2658,,,,,,,:Category:Medulla oblongata,,,:Category:Regional part of brain,Regional part of brain
:Category:Taenia tecta,,Taenia tecta,nlx_144479,,,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Tail of caudate nucleus,,Tail of caudate nucleus,birnlex_1215,"Narrowest part of the caudate nucleus, roughtly defined as that portion that curves ventrally from the body of the caudate nucleus, following the temporal horn of the lateral ventricle",,,,,,:Category:Caudate nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Taste bud (nifext 14),,Taste bud (nifext 14),nifext_14,,,,,,,,,,:Category:Regional part of gustatory epithelium (nifext 13),Regional part of gustatory epithelium (nifext 13)
:Category:Tectobulbar tract,,Tectobulbar tract,birnlex_750,,,,,,,":Category:Medulla oblongata,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Tectopontine tract,,Tectopontine tract,birnlex_701,,,,,,,":Category:Pontine tegmentum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Tectospinal tract,,Tectospinal tract,birnlex_759,,,,tectospinal pathway,,,:Category:White matter,,,:Category:Nerve tract,Nerve tract
:Category:Tegmentum,,Tegmentum,birnlex_1031,"The ventral topographic division of the midbrain; the dorsal topographic division is the tectum. Meckel (1817; see English translation, 1832, vol. 2, p. 467) apparently introduced the term and roughly its definition here for macrodissected adult humans, except he excluded the cerebral peduncle (Tarin, 1753), a white matter tract at the base of the midbrain, which is still common today but is included here. As defined here, tegmentum refers to the whole of the midbrain (Baer, 1837) excluding the tectum but including the pretectal region (Scalia, 1972); see Swanson (2000, pp. 522, 526). Usage of this term is very complex, inconsistent, and illogical; see for example Crosby et al. (1962, pp. 221, 260, 262), Carpenter (1976, p. 367 ff.).",,,Cerebral peduncle,,,,,,:Category:Cerebrospinal axis,Cerebrospinal axis
:Category:Telencephalon,,Telencephalon,birnlex_1115,"The telencephalon is the name for a large region within the brain that is attributed many functions. Many people refer to it as the cerebrum; however, it is technically referred to as the telencephalon. As a more technical definition, the telencephalon refers to the cerebral hemispheres and other, smaller structures within the brain, although the telencephalon is one of the larger divisions (in terms of number). It is the anterior-most embryological division of the brain that develops from the prosencephalon. The telencephalon is composed of the following sub-regions; Limbic system; Cerebral cortex or cortices of the cerebral hemispheres, Basal ganglia, Olfactory bulb.  The telencephalon comprises what most people think of as the ""brain."" It lies on top of the brainstem and is the largest and most well-developed of the five major divisions of the brain. The telencephalon is the newest structure in the phylogenetic sense, with mammals having the largest and most well-developed among all species. It emerges from the prosencephalon, the first of three vesicles that form from the embryonic neural tube (Christine Fennema-Notestine).",,,,,,:Category:Forebrain,:Category:PONS reference structure,,:Category:Regional part of brain,Regional part of brain
:Category:Telencephalon of primate,,Telencephalon of primate,nlx_anat_1005012,The telencephalon of the primate,,,primate telencephalon,,,:Category:Brain of primate,,,:Category:Telencephalon,Telencephalon
:Category:Telencephalon of rodent,,Telencephalon of rodent,nlx_anat_1005015,The telencephalon of a rodent,,,Rodent telencephalon,:Category:Rodent,,,,,:Category:Telencephalon,Telencephalon
:Category:Temporal cortex,,Temporal cortex,nlx_94939,"Gray matter of the temporal region of the neocortex, located in the temporal lobe in gyrencephalic animals",,,,,:Category:Temporal lobe,:Category:Neocortex,,,:Category:Regional part of brain,Regional part of brain
:Category:Temporal lobe,,Temporal lobe,birnlex_1160,Lower lateral part of the cerebral hemisphere. (MSH),Lower lateral part of the cerebral hemisphere. (MSH),,,,:Category:Temporal cortex,,,,:Category:Lobe of cerebral cortex,Lobe of cerebral cortex
:Category:Temporal operculum,,Temporal operculum,birnlex_1025,Part of temporal lobe overlaying the insular cortex,,,,,,:Category:Temporal lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Temporal pole,,Temporal pole,birnlex_1055,"Anterior component of the temporal lobe (rostral boundary) extends caudally to the entorhinal cortex.  The medial and lateral boundaries are the medial aspect of the temporal lobe and the superior or inferior temporal sulci, respectively (Christine Fennema-Notestine).",,,temporopolar cortex,:Category:Primate,:Category:Brodmann (1909) area 38,,,,:Category:Regional part of brain,Regional part of brain
Temporoparietal junction,,,,,,,,,,,,,:Category:Temporoparietal junction,
:Category:Temporoparietal junction,,Temporoparietal junction,nlx_144255,an area of the brain that locates at the interception of temporal and parietal cortices (at the posterior end of the Sylvian fissure).,,,,,,:Category:Cerebral cortex,":Category:Attentional orienting,:Category:Social cognition",,:Category:Regional part of brain,Regional part of brain
:Category:Tenth thoracic dorsal root ganglion,,Tenth thoracic dorsal root ganglion,birnlex_2620,,,,,,,,,,:Category:Thoracic dorsal root ganglion,Thoracic dorsal root ganglion
:Category:Tenth thoracic spinal cord segment,,Tenth thoracic spinal cord segment,birnlex_1591,,,,T10 spinal cord segment,,,,,,:Category:Segment part of thoracic spinal cord,Segment part of thoracic spinal cord
:Category:Thalamic reticular nucleus,,Thalamic reticular nucleus,birnlex_1721,,,,"Reticular thalamus nucleus,reticular nucleus of thalamus,reticular nucleus,nucleus reticularis thalami",,,:Category:Thalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Thalamus,,Thalamus,birnlex_954,"Subcortical brain region consisting of paired gray matter bodies in the dorsal diencephalon and forming part of the lateral wall of the third ventricle of the brain. The thalamus represents the major portion of the diencephalon and is commonly divided into cellular aggregates known as nuclear groups.(MeSH).

The dorsal topographic division of the interbrain. The macrodissected adult human thalamus was clearly illustrated by Vesalius in 1543 and the term as defined here was introduced by His in 1893. It includes the traditional epithalamus, dorsal thalamus, and ventral thalamus of Herrick (1910, pp. 494, 498). Also see Kuhlenbeck (1927, Ch. 9) and Jones (1985, p. 87).",,,Parencephalon,:Category:Vertebrata,,:Category:Cerebrospinal axis,,,:Category:Regional part of brain,Regional part of brain
:Category:Third cervical dorsal root ganglion,,Third cervical dorsal root ganglion,birnlex_2605,,,,,,,,,,:Category:Cervical dorsal root ganglion,Cervical dorsal root ganglion
:Category:Third cervical spinal cord segment,,Third cervical spinal cord segment,birnlex_744,,,,C3 spinal cord segment,,,,,,:Category:Segment part of cervical spinal cord,Segment part of cervical spinal cord
:Category:Third lumbar dorsal root ganglion,,Third lumbar dorsal root ganglion,birnlex_2625,,,,,,,,,,:Category:Lumbar dorsal root ganglion,Lumbar dorsal root ganglion
:Category:Third lumbar spinal cord segment,,Third lumbar spinal cord segment,birnlex_1340,,,,L3 spinal cord segment,,,,,,:Category:Segment part of lumbar spinal cord,Segment part of lumbar spinal cord
:Category:Third sacral dorsal root ganglion,,Third sacral dorsal root ganglion,birnlex_2630,,,,,,,,,,:Category:Sacral dorsal root ganglion,Sacral dorsal root ganglion
:Category:Third sacral spinal cord segment,,Third sacral spinal cord segment,birnlex_1544,,,,S3 spinal cord segment,,,,,,:Category:Segment part of sacral spinal cord,Segment part of sacral spinal cord
:Category:Third thoracic dorsal root ganglion,,Third thoracic dorsal root ganglion,birnlex_2613,,,,,,,,,,:Category:Thoracic dorsal root ganglion,Thoracic dorsal root ganglion
:Category:Third thoracic spinal cord segment,,Third thoracic spinal cord segment,birnlex_1458,,,,T3 spinal cord segment,,,,,,:Category:Segment part of thoracic spinal cord,Segment part of thoracic spinal cord
:Category:Third ventricle,,Third ventricle,birnlex_714,"Part of the ventricular system of the brain, forming a single large cavity in the midline of the diencephalon;  it is continuous with the lateral ventricles through the interventricular foramen and the fourth ventricle through the cerebral aqueduct. (Maryann Martone.  It is bounded anteriorly by the lamina terminalis;  much of the medial surface is formed by the thalamus and hypothalamus;  part of the hypothalamus forms its floor (Nolte, the Human Brain, 6th ed., 2009, pg 101).",,,3rd ventricle,:Category:Mammal,,":Category:Cerebral ventricular cavity,:Category:Diencephalon",,,:Category:Regional part of brain,Regional part of brain
:Category:Thoracic dorsal root ganglion,,Thoracic dorsal root ganglion,birnlex_2600,,,,,,,,,,:Category:Dorsal root ganglion,Dorsal root ganglion
:Category:Thoracic spinal cord,,Thoracic spinal cord,birnlex_966,,,,,,,:Category:Spinal cord,,,:Category:Axial regional part of spinal cord,Axial regional part of spinal cord
:Category:Thoracic spinal cord central canal,,Thoracic spinal cord central canal,birnlex_1395,Part of spinal cord central canal contained in the thoracic spinal cord.  It is continuous rostrally with the cervical spinal cord central canal and caudally with the lumbar spinal cord central canal.,,,,,,:Category:Spinal cord central canal,,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Thoracic spinal cord dorsal column,,Thoracic spinal cord dorsal column,birnlex_1442,,,,Thoracic spinal cord posterior column,,,:Category:Thoracic spinal cord white matter,,,:Category:Regional part of thoracic spinal cord white matter,Regional part of thoracic spinal cord white matter
:Category:Thoracic spinal cord dorsal horn,,Thoracic spinal cord dorsal horn,birnlex_1404,,,,Thoracic spinal cord posterior horn,,,:Category:Thoracic spinal cord gray matter,,,:Category:Regional part of thoracic spinal cord gray matter,Regional part of thoracic spinal cord gray matter
:Category:Thoracic spinal cord gray commissure,,Thoracic spinal cord gray commissure,birnlex_1547,,,,,,,:Category:Thoracic spinal cord gray matter,,,:Category:Regional part of thoracic spinal cord gray matter,Regional part of thoracic spinal cord gray matter
:Category:Thoracic spinal cord gray matter,,Thoracic spinal cord gray matter,birnlex_980,,,,,,,:Category:Thoracic spinal cord,,,:Category:Regional part of thoracic spinal cord,Regional part of thoracic spinal cord
:Category:Thoracic spinal cord lateral column,,Thoracic spinal cord lateral column,birnlex_1439,,,,,,,:Category:Thoracic spinal cord white matter,,,:Category:Regional part of thoracic spinal cord white matter,Regional part of thoracic spinal cord white matter
:Category:Thoracic spinal cord lateral horn,,Thoracic spinal cord lateral horn,birnlex_1397,,,,Thoracic spinal cord intermediate horn,,,:Category:Thoracic spinal cord gray matter,,,:Category:Regional part of thoracic spinal cord gray matter,Regional part of thoracic spinal cord gray matter
:Category:Thoracic spinal cord ventral column,,Thoracic spinal cord ventral column,birnlex_1448,,,,,,,:Category:Thoracic spinal cord white matter,,,:Category:Regional part of thoracic spinal cord white matter,Regional part of thoracic spinal cord white matter
:Category:Thoracic spinal cord ventral commissure,,Thoracic spinal cord ventral commissure,birnlex_1556,Ventral white commissure of the thoracic cord,,,Thoracic spinal cord anterior commissure,,,":Category:Thoracic spinal cord white matter,:Category:Ventral White Commissure",,,:Category:Regional part of thoracic spinal cord white matter,Regional part of thoracic spinal cord white matter
:Category:Thoracic spinal cord ventral horn,,Thoracic spinal cord ventral horn,birnlex_1410,,,,Thoracic spinal cord anterior horn,,,:Category:Thoracic spinal cord gray matter,,,:Category:Regional part of thoracic spinal cord gray matter,Regional part of thoracic spinal cord gray matter
:Category:Thoracic spinal cord white matter,,Thoracic spinal cord white matter,birnlex_999,,,,,,,":Category:Thoracic spinal cord,:Category:Spinal cord white matter",,,:Category:Regional part of thoracic spinal cord,Regional part of thoracic spinal cord
:Category:Transverse frontopolar gyri complex,,Transverse frontopolar gyri complex,birnlex_1258,,,,transverse frontopolar gyri,:Category:Human,,:Category:Frontal lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Transverse occipital sulcus,,Transverse occipital sulcus,birnlex_4013,,,,Sulcus occipitalis transversus,:Category:Human,,:Category:Occipital lobe,,,:Category:Sulcus,Sulcus
:Category:Transverse orbital sulcus,,Transverse orbital sulcus,birnlex_1155,,,,Sulcus orbitalis transversus,,,:Category:Frontal lobe,,,:Category:Sulcus,Sulcus
:Category:Transverse pontine fibers,,Transverse pontine fibers,birnlex_1535,,,,,,,":Category:Basal part of pons,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Transverse temporal cortex,,Transverse temporal cortex,birnlex_1389,"Component of the temporal lobe, lateral aspect.  The rostral boundary is the first appearance of the transverse temporal sulcus whereas the caudal boundary is the last slice where the transverse temporal cortex could be identified before its merger into the insular cortex. The lateral fissure and the superior temporal gyrus are the medial and lateral boundaries respectively (Christine Fennema-Notestine).",,,,,,:Category:Temporal lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Transverse temporal sulcus,,Transverse temporal sulcus,birnlex_1045,Sulcus mostly on the supratemporal plane that marks the boundary between the posterior-most transverse temporal gyrus and the planum temporale,,,Heschl's sulcus,,,:Category:Temporal lobe,,,:Category:Sulcus,Sulcus
:Category:Trapezoid body,,Trapezoid body,birnlex_707,Bundles of axons traversing the pontine tegmentum oriented in the mediolateral direction. These fibers are related to the auditory pathway.  Nuclei are embedded within these fibers.,,,,:Category:Mammal,,":Category:Pontine tegmentum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Trapezoid nuclear complex,,Trapezoid nuclear complex,birnlex_745,,,,"trapezoid gray,trapezoid nuclei,nucleus of the trapezoid body",,,:Category:Superior olivary complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Triangular part of inferior frontal gyrus,,Triangular part of inferior frontal gyrus,birnlex_1216,Component of the inferior frontal gyrus.defined as the second gyrus from the precentral gyrus (Christine Fennema-Notestine).,,,pars triangularis gyri frontalis inferioris,,,:Category:Inferior frontal gyrus,,,:Category:Regional part of brain,Regional part of brain
:Category:Triangular septal nucleus,,Triangular septal nucleus,birnlex_816,,,,triangular nucleus septum (Cajal),,,:Category:Septal nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Trigeminal nerve fibers,,Trigeminal nerve fibers,birnlex_974,,,,,,,":Category:Pontine tegmentum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Trigeminal nerve root,,Trigeminal nerve root,birnlex_1346,,,,,,,,,,:Category:Superficial feature part of pons,Superficial feature part of pons
:Category:Trigeminal nuclear complex,,Trigeminal nuclear complex,birnlex_4096,,,,"Trigeminal nuclei,Trigeminal nucleus",,,,,,:Category:Aggregate regional part of brain,Aggregate regional part of brain
:Category:Tritocerebral commissure,,Tritocerebral commissure,nlx_147711,,,,,,,:Category:Tritocerebral center,,,:Category:Commissure,Commissure
:Category:Trochlear nerve fibers,,Trochlear nerve fibers,birnlex_1172,,,,,,,":Category:Midbrain tegmentum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Trochlear nucleus,,Trochlear nucleus,birnlex_1488,"Nucleus in the midbrain at the level of the inferior colliculus near the midline, containing the motor neurons giving rise to the trochlear nerve, innervating the contralateral superior oblique extraocular muscle of the eye (Brodal, Neurological Anatomy, 3rd ed, 1981, pg. 533).",,,nucleus of the trochlear nerve,:Category:Mammal,,:Category:Midbrain tegmentum,:Category:Cranial nerve nucleus,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Tuber cinereum,,Tuber cinereum,birnlex_1189,Layer of gray matter in the hypothalamus that also forms part of the floor of the third ventricle and merges anteriorly into the infundibulum. (MSH),,,,,,:Category:Intermediate hypothalamic region,,,:Category:Regional part of brain,Regional part of brain
:Category:Tuberal part of hypophysis,,Tuberal part of hypophysis,birnlex_912,,,,,,,:Category:Adenohypophysis,,,:Category:Regional part of brain,Regional part of brain
:Category:Tuberal supraoptic nucleus,,Tuberal supraoptic nucleus,nlx_288,"Posterior division of the supraoptic nucleus, formed by the ascension of the optic tract splitting the nucleus into two regions.  The tuberal SON lies along the posterior tuber cinereum of the hypothalamus.  In some species, some neurons lie under the optic chiasm.",,,retrochiasmatic subdivision,:Category:Mammal,,:Category:Supraoptic nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Tuberomammillary nucleus,,Tuberomammillary nucleus,birnlex_1271,,,,"caudal magnocellular nucleus,mammiloinfundibular nucleus,tuberomammillary hypothalamic nucleus",,,:Category:Lateral hypothalamic region,,,:Category:Regional part of brain,Regional part of brain
:Category:Tuberomammillary nucleus dorsal part,,Tuberomammillary nucleus dorsal part,birnlex_1290,,,,,,,:Category:Tuberomammillary nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Tuberomammillary nucleus ventral part,,Tuberomammillary nucleus ventral part,birnlex_1294,,,,,,,:Category:Tuberomammillary nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Twelfth thoracic dorsal root ganglion,,Twelfth thoracic dorsal root ganglion,birnlex_2622,,,,,,,,,,:Category:Thoracic dorsal root ganglion,Thoracic dorsal root ganglion
:Category:Twelfth thoracic spinal cord segment,,Twelfth thoracic spinal cord segment,birnlex_1598,,,,T12 spinal cord segment,,,,,,:Category:Segment part of thoracic spinal cord,Segment part of thoracic spinal cord
:Category:Uncinate fasciculus,,Uncinate fasciculus,birnlex_983,"Pathway arising from the fastigial nucleus to the vestibular nuclei, reticular formation, motor neurons of brainstem and cervical spinal cord (Butler and Hodos, Comparative Vertebrate Neuroanatomy, 2nd ed., 2005, pg 261).",,,,,,":Category:White matter,:Category:Pontine tegmentum,:Category:Inferior cerebellar peduncle",,,:Category:Regional part of brain,Regional part of brain
:Category:Uncinate fasciculus of forebrain,,Uncinate fasciculus of forebrain,nlx_98733,A fiber pathway in the cerebral white matter that connects anterior portions of the temporal lobe with the inferior frontal gyrus and the middle frontal gyrus. It is not readily distinguished in myelin-stained cross-sections (adapted from Brain Info).,,,uncinate fasiculus,,,:Category:Cerebral white matter,,,:Category:Regional part of brain,Regional part of brain
:Category:Vagal nerve fiber bundle,,Vagal nerve fiber bundle,birnlex_765,,,,"vagal nerve fibers,central part of vagus nerve,tenth cranial nerve fibers",,,":Category:White matter,:Category:Medulla oblongata",,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral White Commissure,,Ventral White Commissure,nlx_152093,"Commissure containing myelinated fibers that cross the midline of the spinal cord just below the central canal of the spinal cord (Adapted from Brain Info).  Pain and temperature sensory pathways, as well as fibers from the primary motor cortex cross here.",,,Anterior white commissure,,,":Category:Spinal cord,:Category:Spinal cord white matter",,,:Category:Commissure,Commissure
:Category:Ventral acoustic stria,,Ventral acoustic stria,birnlex_991,White matter structure containing fibers arising from neurons in the cochlear nuclear complex,,,,,,":Category:Pontine tegmentum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral amygdalofugal projection,,Ventral amygdalofugal projection,birnlex_1563,,,,ventral amygdalofugal pathway,,,":Category:White matter,:Category:Telencephalon",,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral anterior nucleus,,Ventral anterior nucleus,birnlex_1232,,,,"ventral anterior nucleus of thalamus,ventroanterior thalamic nucleus,nucleus ventralis anterior,ventral anterior thalamic nucleus,nucleus ventralis thalami anterior,nucleus lateropolaris,nucleus ventralis anterior thalami",,,:Category:Ventral nuclear group,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral cochlear nucleus,,Ventral cochlear nucleus,birnlex_2567,,,,anterior cochlear nucleus,,,:Category:Cochlear nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral corticospinal tract,,Ventral corticospinal tract,birnlex_1618,Part of pyramidal tract (corticospinal tract) containing uncrossed fibers and traveling in the ventral funiculus of the spinal cord.,,,"anterior tract of Turck,anterior pyramidal tract,anterior corticospinal tract,bundle of Turck,ventral corticospinal tract",,,":Category:Spinal cord,:Category:White matter,:Category:Pyramidal tract",,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Ventral external arcuate fiber bundle,,Ventral external arcuate fiber bundle,birnlex_1628,,,,ventral external arcuate fibers,,,":Category:White matter,:Category:Medulla oblongata",,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral lateral nucleus,,Ventral lateral nucleus,birnlex_1237,,,,"ventrolateral thalamic nucleus,nucleus ventrolateralis thalami,ventral lateral nucleus of thalamus,ventral lateral thalamic nucleus,nucleus ventralis lateralis thalami,nucleus ventralis lateralis,nucleus ventralis intermedius,nucleus ventralis thalami lateralis,ventral lateral thalamic nuclei,lateral ventral nucleus of thalamus",,,:Category:Ventral nuclear group,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral nerve root of cervical spinal cord,,Ventral nerve root of cervical spinal cord,birnlex_958,,,,Anterior nerve root of cervical spinal cord,,,:Category:Cervical spinal cord,,,:Category:Nerve root part of cervical spinal cord,Nerve root part of cervical spinal cord
:Category:Ventral nerve root of lumbar spinal cord,,Ventral nerve root of lumbar spinal cord,birnlex_1266,,,,Anterior nerve root of lumbar spinal cord,,,:Category:Lumbar spinal cord,,,:Category:Nerve root part of lumbar spinal cord,Nerve root part of lumbar spinal cord
:Category:Ventral nerve root of sacral spinal cord,,Ventral nerve root of sacral spinal cord,birnlex_755,,,,Anterior nerve root of sacral spinal cord,,,:Category:Sacral spinal cord,,,:Category:Nerve root part of sacral spinal cord,Nerve root part of sacral spinal cord
:Category:Ventral nerve root of thoracic spinal cord,,Ventral nerve root of thoracic spinal cord,birnlex_1606,,,,Anterior nerve root of thoracic spinal cord,,,:Category:Thoracic spinal cord,,,:Category:Nerve root part of thoracic spinal cord,Nerve root part of thoracic spinal cord
:Category:Ventral nuclear group,,Ventral nuclear group,birnlex_1669,"Mostly gray regional part of the lateral thalamic region, consisting of a large group of nuclei lying between the internal medullary lamina and the internal capsule. It includes the ventral anterior, ventral lateral, and ventral posterior nuclei (MM: 2006-10-26)",,,"ventral group of dorsal thalamus,ventral tier thalamic nuclei,nuclei ventrales thalami,ventral nuclear mass,ventral nuclei of thalamus",,,:Category:Thalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral nucleus of lateral geniculate body,,Ventral nucleus of lateral geniculate body,birnlex_1597,,,,"griseum praegeniculatum,ventral part (Kolliker),nucleus pregeniculatum,corpus geniculatum laterale,ventral part,pregeniculate nucleus,praegeniculatum,nucleus accessorius,pars ventralis,ventral nucleus of lateral geniculate body,corpus geniculatum externum,pars oralis,nucleus corporis geniculati lateralis,nucleus praegeniculatus,ventral part of the lateral geniculate complex,lateral geniculate nucleus,lateral geniculate complex,ventral lateral geniculate nucleus",,,:Category:Lateral geniculate nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral nucleus of lateral lemniscus,,Ventral nucleus of lateral lemniscus,birnlex_1140,,,,,,,:Category:Nuclei of the lateral lemniscus,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral nucleus of medial geniculate body,,Ventral nucleus of medial geniculate body,birnlex_845,,,,"nucleus geniculatus medialis fasciculosus (Hassler),nucleus corporis geniculati medialis,ventral part,pars ventralis,medial geniculate complex,medial geniculate nucleus,ventral nucleus of medial geniculate body,medial nucleus of medial geniculate complex,nucleus geniculatus medialis pars ventralis",,,:Category:Medial geniculate body,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral nucleus of trapezoid body,,Ventral nucleus of trapezoid body,birnlex_2576,,,,,,,:Category:Trapezoid nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral oculomotor nucleus,,Ventral oculomotor nucleus,birnlex_713,,,,,,,:Category:Oculomotor nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral pallidum,,Ventral pallidum,birnlex_1674,"A composite structure primarily of forebrain with arguable extension into the midbrain. It is part of the striatopallidal system, which is defined on the basis of neurochemistry and connectivity. It includes the portions of the globus pallidus and the substantia innominata located ventral to the anterior commissure; it extends into the anterior perforated substance and, in some respects, pars reticulata of the substantia nigra. Its boundary with the dorsal pallidum is indistinct in sections stained for Nissl substance (Heimer-95)","A composite structure primarily of forebrain with arguable extension into the midbrain. It is part of the striatopallidal system, which is defined on the basis of neurochemistry and connectivity. It includes the portions of the globus pallidus and the substantia innominata located ventral to the anterior commissure; it extends into the anterior perforated substance and, in some respects, pars reticulata of the substantia nigra. Its boundary with the dorsal pallidum is indistinct in sections stained for Nissl substance (Heimer-95).",,,,,":Category:Basal forebrain,:Category:Basal ganglia,:Category:Telencephalon",,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral posterior nucleus,,Ventral posterior nucleus,birnlex_1116,"Part of thalamus receiving primary somatic sensory information via the medial lemniscal pathway that projects to the primary somatosensory cortex (adapted from Paxinos, The Rat Nervous System, 2nd Ed, Academic Press, 1995).",,,"ventrobasal nucleus,ventrobasal complex,nucleus ventralis posterior,nucleus ventrales posteriores,ventral posterior thalamic nucleus",,,:Category:Ventral nuclear group,:Category:Thalamic relay nucleus,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral posteroinferior nucleus,,Ventral posteroinferior nucleus,birnlex_728,,,,"ventroposterior inferior thalamic nucleus,nucleus thalamicus posteromedialis,ventral posterior inferior nucleus,nucleus ventralis posterior inferior thalami,ventral posterior inferior nucleus of thalamus,nucleus ventrocaudalis parvocellularis extremus (Hassler),pars inferior,nucleus ventralis posterior inferior",,,:Category:Ventral posterior nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral posterolateral nucleus,,Ventral posterolateral nucleus,birnlex_737,,,,"nucleus ventralis posterolateralis thalami,nucleus ventralis posterior lateralis thalami,ventral posterolateral thalamic nucleus,nucleus ventralis posterolateralis,ventral posterolateral nucleus of the thalamus,posterolateral ventral nucleus of the thalamus,nucleus ventralis thalami posterior lateralis",,,:Category:Ventral posterior nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral posteromedial nucleus,,Ventral posteromedial nucleus,birnlex_743,,,,"ventral posterior medial nucleus,ventral posterior medial nucleus of thalamus,ventral posteromedial nucleus of the thalamus,posteromedial ventral nucleus of the thalamus,ventroposteromedial nucleus of the thalamus,nucleus semilunaris thalami,nucleus ventralis posteromedialis thalami,arcuate nucleus-3,arcuate nucleus of the thalamus,nucleus ventrocaudalis anterior internus (Hassler),nucleus ventralis posteromedialis,ventral posteromedial thalamic nucleus,thalamic gustatory nucleus,nucleus ventralis posterior medialis thalami,semilunar nucleus,nucleus arcuatus thalami",,,:Category:Ventral posterior nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral striatum,,Ventral striatum,nlx_57107,"A composite structure of the telencephalon that is defined in the striatopallidal system by connectivity and neurochemical staining. It includes the nucleus accumbens, the most ventral portions of the caudate nucleus and the putamen, the rostrolateral portion of the anterior perforated substance, the islands of Calleja and a rostral subcommissural portion of substantia innominata. The boundary between the ventral striatum and dorsal striatum is indistinct in sections stained for Nissl substance (Heimer-1995;  adapted from Brain Info).",,,,,,:Category:Striatum,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral supraoptic decussation,,Ventral supraoptic decussation,birnlex_1347,,,,"ventral supraoptic commissure (of Meynert),commissure of Gudden",,,":Category:White matter,:Category:Anterior hypothalamic region",,,:Category:Decussation,Decussation
