,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link
:Category:Preoptic periventricular nucleus,Preoptic periventricular nucleus,"Preoptic periventricular hypothalamic nucleus,periventricular preoptic nucleus",birnlex_1201,,,Regional part of brain,,,,,,POP,
:Category:Prepyramidal fissure,Prepyramidal fissure,"Fissura Inferior Anterior,Fissura Parafloccularis,Prebiventral Fissure",nlx_anat_20081257,,,Superficial feature part of the cerebellum,,Fissure between cerebellar lobules VIIBii and VIII.,,,,ppf,
:Category:Prepyriform area,Prepyriform area,"prepiriform cortex,piriform area,prepyriform cortex,(pre-)piriform cortex,pyriform area,piriform cortex (Price),lateral olfactory gyrus,piriform olfactory cortex,piriform cortex,uncus",birnlex_1097,,,Regional part of brain,,,,,,,
:Category:Presubiculum,Presubiculum,presubiculum (Cajal),birnlex_1108,,,Regional part of brain,,,,,,PrS,
:Category:Pretectum,Pretectum,pretectal region,nlx_59721,,,Regional part of brain,,"Region of brain lying between the midbrain tectum and the thalamus (Sefton and Dreher, in Paxinos, G The rat central nervous system, 1995, pg 859),  Situated at the level of poterior commissure and just rostral to the superior colliculus  (Brodal, Neurological Anatomy, 3rd ed, 1981, pg 542)",,,,,
:Category:Primary motor cortex,Primary motor cortex,primary motor area,nlx_143555,,,Regional part of brain,:Category:Mammal,"The part of the cerebral cortex that receives projections from the motor thalamus and which projects to motor neurons in the brainstem and spinal cord.  The motor cortex corresponds to Brodmann's area 4 (MM).  The primary motor cortex, or M1, is located on the precentral gyrus and on the anterior paracentral lobule on the medial surface of the brain. Of the three motor cortex areas, stimulation of the primary motor cortex requires the least amount of electrical current to elicit a movement. http://neuroscience.uth.tmc.edu/s3/chapter03.html","cyto-architecture, connectivity",:Category:Motor system function,,M1,
:Category:Primary olfactory cortex,Primary olfactory cortex,primary olfactory areas,birnlex_2706,,,Regional part of brain,,"The term primary olfactory areas in the primate, refers to a group of structures defined by connectivity, namely, structures that receive axons from the olfactory bulb. They include the anterior olfactory nucleus, the anterior perforated substance, the rostral part of the medial amygdaloid nucleus (anterior cortical nucleus of amygdala), and structures in the anterior part of the parahippocampal gyrus, namely, the prepyriform area, most of the periamygdaloid area, and the rostral part of the entorhinal area (Price-90). Note that some authors have regarded the olfactory bulb itself as the primary olfactory area and the areas to which it projects as secondary (Anthoney-94).  In the mouse (Dong-2004) and the rat (Swanson-2004), olfactory areas include the olfactory bulb, accessory olfactory bulb, anterior olfactory nucleus, tenia tecta, prepyriform area, postpiriform transition area, piriform amygdaloid area, nucleus of lateral olfactory tract, and cortical amygdaloid area.",,":Category:Sensory cortex,:Category:Functional part of brain",,,
:Category:Primary somatosensory area barrel field layer 1,Primary somatosensory area barrel field layer 1,,nlx_157672,,,Regional part of brain,,,,,,,
:Category:Primary somatosensory area barrel field layer 2/3,Primary somatosensory area barrel field layer 2/3,Barrel cortex layer 2/3,nlx_157673,,,Regional part of brain,,,,,,,
:Category:Primary somatosensory area barrel field layer 4,Primary somatosensory area barrel field layer 4,Barrel cortex layer 4,nlx_157676,,,Regional part of brain,,,,,,,
:Category:Primary somatosensory area barrel field layer 5,Primary somatosensory area barrel field layer 5,Barrel cortex layer 5,nlx_157671,,,Regional part of brain,,,,,,,
:Category:Primary somatosensory area barrel field layer 6a,Primary somatosensory area barrel field layer 6a,Barrel cortex layer 6A,nlx_157675,,,Regional part of brain,,,,,,,
:Category:Primary somatosensory area barrel field layer 6b,Primary somatosensory area barrel field layer 6b,Barrel cortex layer 6B,nlx_157674,,,Regional part of brain,,,,,,,
:Category:Primary somatosensory cortex,Primary somatosensory cortex,,nlx_143551,,,Regional part of brain,,"(Chapin & Lin, 1984, rat): the region considered as the SI cortex is not a cytoarchitecturally homogeneous structure but consists instead of a patchwork array of areas containing dense aggregations of layer IV granule cells, surrounded by granule-cell-sparse regions. As was shown by Welker ('71,'76), and in our own mapping studies (see Fig. 3), this discontinuous pattern of granular, or koniocortical, zones contains within itself a map of the rat's cutaneous periphery. There are clear subtypes within this cytoarchitectural subregion, notably including the ""granular aggregate"" type of cytoarchitecture characteristic of the paw, limb, and mystacial vibrissae areas, and the ""barrel-field"" type (originally described by Woolsey and Van der Loos, '70) seen in the nose and perioral regions. In the mouse, but not the rat, such barrels also cover the whole whisker representation (Welker and Woolsey, '74).",,,,"S1, Sm1, SSp",
:Category:Primary somatosensory cortex lamina VI,Primary somatosensory cortex lamina VI,primary somatosensory cortex layer 6,nlx_144265,,,Regional part of brain,,,,,,,
:Category:Primate neocortex,Primate neocortex,,nlx_144184,,,Neocortex,:Category:Primate,,,,,,
:Category:Principal anterior division of supraoptic nucleus,Principal anterior division of supraoptic nucleus,,nlx_528,,"Armstrong, W. E. Morphological and electrophysiological classification of hypothalamic supraoptic neurons.  Progress in Neurobiology 47:  291-339, 1995.",Regional part of brain,:Category:Mammal,"One of two divisions of the supraoptic nucleus observed in mammals, formed by the ascension of the optic chiasm to split the nucleus in two.  The principal anterior division consists of a dense cluster of large cells that stain darkly in Nissl preparations adjacent to the optic chiasm, extending as far rostrally to the organum vasculosum of the lamina terminalis and caudally into the posterior hypothalamus",,,,SONa,
:Category:Principal olivary nucleus,Principal olivary nucleus,principal olive,nlx_anat_20081248,,,Nucleus of CNS,,,,,,IOPr,
:Category:Principal part of ventral posteromedial nucleus,Principal part of ventral posteromedial nucleus,"pars prinicipalis,nucleus ventralis posteromedialis",birnlex_927,,,Regional part of brain,,,,,,VPMPr,
:Category:Principal pretectal nucleus,Principal pretectal nucleus,,birnlex_1048,,,Regional part of brain,,,,,,,
:Category:Principal sensory nucleus of trigeminal nerve,Principal sensory nucleus of trigeminal nerve,main sensory nucleus of trigeminal nerve,birnlex_1120,,,Nucleus of CNS,,"Nucleus in the pontine tegmentum.  One of trigeminal nerve nuclei that receive sensory input from the trigeminal ganglia. (Heimer, L. The Human Brain and Spinal Cord, 2nd Ed, 1996, page 248).",,:Category:Cranial nerve nucleus,,,
:Category:Prostriate area,Prostriate area,area prostriata,nlx_149261,,,Regional part of brain,:Category:Macaque,,,,,,
:Category:Pulvinar,Pulvinar,"pulvinar nucleus,pulvinar thalami,nuclei pulvinares",birnlex_824,,,Nucleus of CNS,,"a set of nuclei located in the posterior thalamus, that projects to all or nearly all extra-striate visual areas.",,:Category:Higher order thalamic relay nucleus,,Pul,
:Category:Putamen,Putamen,nucleus putamen,birnlex_809,,,Regional part of brain,,"Subcortical nucleus of telencephalon , which together with the caudate nucleus, forms the striatum.  The putamen lies lateral to the internal capsule and medial to the external medullary lamina, and is separated from the caudate nucleus by the fibers of the internal capsule for most of its length, except at its anterior portion.",,,,Pu,
:Category:Pyramid,Pyramid,"medullary pyramid,pyramis",nlx_21189,,,Regional part of brain,,White matter structure at the base of the medulla containing the axons of the corticospinal tract (MM),,,,,
:Category:Raphe Nuclei,Raphe Nuclei,,nlx_anat_20090205,,,Nucleus raphe magnus,,The raphe nuclei are thin plates of cells in and immediately adjacent to the sagittal plane.,,,,,
:Category:Red nucleus,Red nucleus,Nucleus ruber,birnlex_1478,,,Regional part of brain,:Category:Mammal,"Large round nucleus located in the midbrain tegmentum, consisting of a magnocellular and parvicellular portion in most species studied.","cyto-architecture, chemoarchitecture",:Category:PONS reference structure,,,
:Category:Regional Parts of the Hemisphere Lobules,Regional Parts of the Hemisphere Lobules,,nlx_anat_20081201,,,Lobular parts of the cerebellar cortex,,,,,,,
:Category:Regional Parts of the Paravermal Lobules,Regional Parts of the Paravermal Lobules,,nlx_anat_20081214,,,Lobular parts of the cerebellar cortex,,,,,,,
:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules,,nlx_anat_20081223,,,Lobular parts of the cerebellar cortex,,,,,,,
:Category:Regional part of a lobe of the cerebellum,Regional part of a lobe of the cerebellum,,birnlex_1094,,,Regional part of cerebellar cortex,,,,,,,
:Category:Regional part of amygdala,Regional part of amygdala,,birnlex_2678,,,Regional part of brain,,,,,,,
:Category:Regional part of cerebellar cortex,Regional part of cerebellar cortex,,birnlex_1571,,,Gross anatomical parts of the cerebellum,,,,,,,
:Category:Regional part of cerebellar white matter,Regional part of cerebellar white matter,,birnlex_959,,,Composite part spanning multiple base regional parts of brain,,,,,,,
:Category:Regional part of cerebellum,Regional part of cerebellum,,birnlex_748,,,Regional part of brain,,,,,,,
:Category:Reticular formation,Reticular formation,,nlx_143558,,,Regional part of brain,,,,,,,
:Category:Reticulotegmental nucleus,Reticulotegmental nucleus,"reticulotegmental nucleus of pons,reticulotegmental pontine nucleus,Nucleus reticularis tegmenti pontis",birnlex_882,,,Regional part of brain,,,,:Category:Precerebellar nucleus,,,
:Category:Retrorubral area,Retrorubral area,A8,nlx_395,,,Regional part of brain,,The term retrorubral area of the midbrain reticular nucleus refers to a region of the rat brain caudal and dorsal to the ventral tegmental area. It is one of three parts of the midbrain reticular nucleus; the other two are the magnocellular part of the midbrain reticular nucleus and the parvicellular part of the midbrain reticular nucleus (Swanson-2004). BrainInfo distinguishes between the Retrorubral area of the midbrain reticular formation and the retrorubral nucleus.,,,,RRF,
:Category:Retrotrapezoid nucleus,Retrotrapezoid nucleus,,nlx_152601,,,Regional part of brain,":Category:Cat,:Category:Rat","Group of cells in the rostral medulla close to the ventral surface, near to the trapezoid body",,,,,
:Category:Reuniens nucleus,Reuniens nucleus,Reuniens thalamic nucleus,birnlex_770,,,Regional part of brain,,,,,,Re,
:Category:Rhomboidal nucleus,Rhomboidal nucleus,,birnlex_778,,,Regional part of brain,,,,,,Rh,
:Category:Right cerebral hemisphere,Right cerebral hemisphere,Right hemisphere,birnlex_1797,,,Hemisphere parts of cerebral cortex,,,,,,,
:Category:Right frontal lobe,Right frontal lobe,,birnlex_1786,,,Frontal lobe,,Frontal lobe of the right hemisphere of the brain,,,,,
:Category:Right limbic lobe,Right limbic lobe,,birnlex_1781,,,Limbic lobe,,,,,,,
:Category:Right occipital lobe,Right occipital lobe,,birnlex_1783,,,Occipital lobe,,Occipital lobe of the right hemisphere of the brain,,,,,
:Category:Right parietal lobe,Right parietal lobe,,birnlex_1729,,,Parietal lobe,,Parietal lobe of the right hemisphere of the brain,,,,,
:Category:Right sub-lobar region,Right sub-lobar region,,birnlex_1790,,,Sub-lobar region,,,,,,,
:Category:Right temporal lobe,Right temporal lobe,,birnlex_1785,,,Temporal lobe,,,,,,,
:Category:Rostral anterior cingulate cortex,Rostral anterior cingulate cortex,,birnlex_975,,,Regional part of brain,,Component of the cingulate cortex.  The rostral boundary was the first appearance of the cingulate sulcus (inferior to the superior frontal sulcus) whereas the caudal boundary was the first appearance of the genu of the corpus callosum. The medial boundary was the medial aspect of the cortex. The supero-lateral boundary was the superior frontal gyrus whereas the infero-lateral boundary was defined as the medial division of the orbitofrontal gyrus (Christine Fennema-Notestine).,,,,,
:Category:Rostral interstitial nucleus of medial longitudinal fasciculus,Rostral interstitial nucleus of medial longitudinal fasciculus,,birnlex_1481,,,Regional part of brain,,,,,,RI,
:Category:Rostral intralaminar nuclei,Rostral intralaminar nuclei,nuclei intralaminares rostrales,birnlex_794,,,Regional part of brain,,,,,,RIL,
:Category:Rostral linear nucleus,Rostral linear nucleus,,nlx_144319,,,Regional part of brain,:Category:Mammal,"Nucleus of the medial ventral tegmental area, originally identified in the rat but also in cat, monkey and human, comprising an average of 7% volume of the VTA across the different species, with the largest being present in the cat.",,,,,
:Category:Rostral middle frontal gyrus,Rostral middle frontal gyrus,,birnlex_1090,,,Regional part of brain,:Category:Human,Component of the middl frontal gyrus  The rostral boundary is the first appearance of the superior frontal sulcus whereas the caudal boundary is the middle frontal gyrus. The medial and lateral boundaries are the superior frontal sulcus and the inferior frontal sulcus respectively (Christine Fennema-Notestine).,topography,,,,
:Category:Rostral migratory stream,Rostral migratory stream,,birnlex_1702,,,Regional part of brain,,Unique telencephalic subventricular zones that extend from the lateral ventricles into the olfactory bulbs. Newly produced GABAergic interneurons migrate along the RMS and settle in the bulb.,,,,,
:Category:Rostral portion of the medial accessory olive,Rostral portion of the medial accessory olive,,nlx_anat_20081247,,,Regional part of brain,,,,,,RMAO,
:Category:Rostral spinocerebellar tract,Rostral spinocerebellar tract,,nlx_69382,,,Regional part of brain,,"Cervical equivalent to the ventral spinocerebellar tract (Heimer, L:  The Human Brain and Spinal Cord, 1995, pg 370).  Originates from cells rostral to Clarke's column and sends uncrossed axons through the lateral funiculus to the cerebellum.  It reaches the cerebellum partly through the brachium conjunctivum and partly through the restiform body, terminating bilaterally in the anterior lobe of the cerebellum.",,,,,
:Category:Rostral superior temporal gyrus,Rostral superior temporal gyrus,"anterior superior temporal cortex,anterior superior temporal gyrus",nlx_14855,"6,520,247,792,991,210,000,000,000,000",,Regional part of brain,,,,:Category:Brain Subdivisions based on automated term selection,,,
:Category:Secondary fissure,Secondary fissure,"Fissura Secunda,Fissura Retrotonsillaris,Fissura Intraparafloccularis",nlx_anat_20081258,,,Superficial feature part of the cerebellum,,Fissure between cerebellar lobules VIII and IX.,,,,sf,
:Category:Secondary olfactory cortex,Secondary olfactory cortex,"secondary olfactory cortical area (Carpenter),area 28 of Brodmann (Crosby),secondary olfactory areas",birnlex_2709,,,Regional part of brain,,"Brodmann's area 28; major gateway for neocortical input to the hippocampus; origin of the perforant pathway; a component of the medial temporal lobe memory system. (CSP) * The cytoarchitecturally well-defined area of multilaminate cerebral cortex on the medial aspect of the parahippocampal gyrus, immediately caudal to the olfactory cortex of the uncus. The entorhinal cortex is the origin of the major neural fiber system afferent to the hippocampus, the so-called PERFORANT PATHWAY. (Stedman, 25th ed) (MSH)",,,,,
:Category:Sensory cortex,Sensory cortex,,nlx_157253,,,Functional part of brain,,Region of the cerebral cortex that responds with a short latency to sensory signals.,,,,,
:Category:Septal nuclear complex,Septal nuclear complex,Septal nuclei,birnlex_1313,,,Regional part of brain,,Collection of nerve cells in the medial forebrain lying generally in front of the anterior commissure (Maryann Martone).,,,,,
:Category:Septal pellucidum,Septal pellucidum,Medial septum,birnlex_1315,,,Regional part of brain,,"A triangular double membrane, consisting of glial cells and fibers (Heimer, 1996) separating the anterior horns of the lateral ventricles of the brain. It is situated in the median plane and bounded by the corpus callosum and the body and columns of the fornix.",,,,,
:Category:Septofimbrial nucleus,Septofimbrial nucleus,"nucleus septofibrialis,scattered nucleus of the septum",birnlex_730,,,Regional part of brain,,,,,,SFi,
:Category:Septohippocampal nucleus,Septohippocampal nucleus,,nlx_60880,,,Regional part of brain,,"Part of septal nuclear complex.  In the human, it refers to the most caudal of scattered clusters of neurons in the septum pellucidum that extend, on the underside of the corpus callosum, from the level of the medial septal nucleus to the CA fields ( Crosby-1962 ). In the rat it is associated with the lateral septal nucleus throughout its rostro-caudal course toward the CA fields ( Swanson-1998.  Adapted from Brain Info.",,,,SHi,
:Category:Septum,Septum,,birnlex_963,,,Septal pellucidum,,"Gray matter structure located on the midline of the forebrain consisting of the septum pellucidum (in some species) and the septal nuclei (Heimer, 1996).",,,,Spt,
:Category:Septum pellucidum,Septum pellucidum,SP,nlx_144186,,,Regional part of brain,":Category:Human,:Category:Macaca fuscata fuscata","A thin membrane located at the midline of the brain in the forebrain in primates. (NINDS Disorder Index, http://www.ninds.nih.gov/disorders/absence_septum_pellucidum/absence_septum_pellucidum.htm)",,,,,
:Category:Serotonergic cell group B7,Serotonergic cell group B7,"B7,serotonin group B7",nlx_97638,,,Cell group,,A group of cells that stain for serotonin located in the central gray of the pons and midbrain,,,,,
:Category:Serotonergic cell group B8,Serotonergic cell group B8,"serotonergic group B8,B8",nlx_62751,,"Dahlstrom, A. and Fuxe, K. Evidence for the existence of monoamine containing neurons in the central nervous system. I. Deomonstration of monoamines in cell bodies of brainstem neurons.  Acta Physiol Scan 62 (Suppl) 1-55, 1964",Cell group,,"A group of cells containing serotonin located in the dorsal part of the superior central nucleus and adjacent structures of the pontine reticular formation of the rodent throughout the midline raphe nuclei, originally described by Dahlstrom and Fuxe (1964) using the histochemical fluorescence method developed by Falck and Hillarp.  This group has also been identified in the primate.",,,,,
:Category:Serotonergic cell group B9,Serotonergic cell group B9,B9,nlx_53418,,,Cell group,,"A group of cells that fluoresce for serotonin that is located in the pontine tegmentum, ventral to serotonergic group B8. In the nonhuman primate they are found in the ventral part of the superior central nucleus and adjacent structures ( Felten-1983 ). In the rodent they have a more lateral location within the medial lemniscus of the pons and dorsal and medial to it ( Dahlstrom-1964, Paxinos-2001 ) and extends into the midbrain (Halliday et al., in Paxinos, the Rat Central Nervous System, 2nd ed, 1994, pg 931). Adapted from Brain Info",,,,,
:Category:Sexually dimorphic nucleus of the preoptic area,Sexually dimorphic nucleus of the preoptic area,,nlx_152051,,,Regional part of brain,":Category:Human,:Category:Rat","Nucleus in the medial preoptic area that shows marked sexual dimorphism, being much larger in the male than the female.",cyto-architecture,:Category:Sexually dimorphic nucleus,,,
:Category:Shell of nucleus accumbens,Shell of nucleus accumbens,Nucleus accumbens shell,nlx_anat_20090307,,"Zaborszky L, Alheid GF, Beinfeld MC, Eiden LE, Heimer L, Palkovits M. Cholecystokinin innervation of the ventral striatum: a morphological and radioimmunological study. Neuroscience. 1985;4:427-453.",Regional part of brain,:Category:Rodent,"Crescent shaped outer zone of the nucleus accumbens, defined by a combination of chemoarchitecture and afferent and efferent connections.  The shell is distinguished from the more centrally located core through the notable reduction in staining for the calcium-binding protein calbindin D28K, which is dense in the core and virtually absent in the shell.",,,,AcbSH,
:Category:Solitary nucleus,Solitary nucleus,"nucleus of the tractus solitarius,nucleus of the solitary tract,Nucleus solitary tract,nucleus solitarius",birnlex_1429,,,Regional part of brain,,,,:Category:Cranial nerve nucleus,,,
:Category:Somatosensory association cortex,Somatosensory association cortex,,nlx_143554,,,Regional part of brain,,,,,,,
:Category:Somatosensory cortex,Somatosensory cortex,Somatosensory area,oen_0001106,,,Functional part of brain,,Region of the cerebral cortex that responds with a short latency to somatosensory stimuli,,:Category:Sensory cortex,,,
:Category:Sommer's sector,Sommer's sector,Sommers sector,nlx_anat_1005009,,,Regional part of brain,,"Part of hippocampal formation comprising area CA1 and the subiculum (pg 425, Heimer, L. The human brain and spinal cord, Springer-Verlag, 1995)",,,,,
:Category:Sphincter muscle,Sphincter muscle,,nlx_144124,,,Regional part of brain,,,,,,,
:Category:Spinal trigeminal tract of medulla,Spinal trigeminal tract of medulla,,birnlex_1477,,,Regional part of brain,,Part of spinal trigeminal tract located in the medulla,,,,,
:Category:Spinal trigeminal tract of pons,Spinal trigeminal tract of pons,,birnlex_1725,,,Regional part of brain,,,,,,,
:Category:Spinothalamic tract of medulla,Spinothalamic tract of medulla,,birnlex_741,,,Regional part of brain,,Part of spinothalamic tract in the medulla,,,,,
:Category:Spinothalamic tract of midbrain,Spinothalamic tract of midbrain,,birnlex_1150,,,Regional part of brain,,,,,,stmb,
:Category:Spinothalamic tract of pons,Spinothalamic tract of pons,,birnlex_1719,,,Regional part of brain,,Part of spinothalamic tract that is in the pontine tegmentum,,,,,
:Category:Stratum lacunosum moleculare,Stratum lacunosum moleculare,Stratum lacunosum-moleculare,birnlex_1359,,,Cell layer,,"Layer of the hippocampus lying just superficial to the stratum radiatum and bounded by the pial surface of the hippocampus.  The fibers of the perforant pathway fibers from entorhinal cortex and several other brain areas terminate in this layer.   Adapted from Paxinos, G. The rat central nervous system, 2nd ed, Academic Press, San Diego, 1995, pg. 460)",,,,LMol,
:Category:Stratum lucidum,Stratum lucidum,,birnlex_4108,,,Cytoarchitectural fields of hippocampal formation,,"Layer of hippocampus area CA3 lying superficial to the pyramidal cell layer that contains mossy fiber axons projecting from the dentate gyrus.  A slight thickening in this layer marks the border in some species between areas CA2 and CA3. dapted from Paxinos, G. The rat central nervous system, 2nd ed, Academic Press, San Diego, 1995, pg. 460)",,,,Lu,
:Category:Stratum oriens,Stratum oriens,"polymorphic layer of the hippocampus,oriens layer of the hippocampus",birnlex_4113,,,Cytoarchitectural fields of hippocampal formation,:Category:Mammal,"Layer that is part of the CA fields of the hippocampus consisting of a narrow relatively cell free layer located deep to the pyramidal cell layer extending through areas CA1, CA2 and CA3. (adapted from Paxinos The rat central nervous system, 2nd ed, Academic Press, San Diego, 1995)",,,,,
:Category:Stratum pyramidale,Stratum pyramidale,"Pyramidal cell layer of the hippocampus,stratum pyramidale,hippocampal pyramidal cell layer,Pyramidal layer of hippocampus",birnlex_1444,,,Cytoarchitectural fields of hippocampal formation,,Layer of the hippocampus containing dense packing of pyramidal cell bodies,,,,,
:Category:Stratum radiatum,Stratum radiatum,,birnlex_1298,,,Cytoarchitectural fields of hippocampal formation,,"Layer of the hippocampus lying just superficial to the stratum lucidum in CA3 and the pyramidal cell layer in CA1 and CA2 defined by the the location of CA3 to CA3 associational fibers and the Schaffer collaterals in area CA1.  Adapted from Paxinos, G. The rat central nervous system, 2nd ed, Academic Press, San Diego, 1995, pg. 460)",,,,Rad,
:Category:Stratum zonale of thalamus,Stratum zonale of thalamus,Stratum zonale thalami,birnlex_1727,,,Regional part of brain,,,,,,,
:Category:Stria medullaris,Stria medullaris,"stria medullaris of thalamus,stria medullaris (Wenzel - Wenzel),stria medullaris thalami,stria medullaris thalamica,stria habenularis",birnlex_1066,,,Regional part of brain,,"White matter pathway located in the superior wall of the third ventricle along the dorsal-medial margin of the diencephalon; contains axons that interconnect the anterior hypothalamus and septal nuclei in the medial basal forebrain with the habenula, a component of the epithalamus. (http://www.sylvius.com/index/s/stria_medullaris.html)",,,,sm,
:Category:Stria terminalis,Stria terminalis,,birnlex_937,,,Regional part of brain,,"White matter structure in the brain consisting of fibers running along the lateral margin of the ventricular surface of the thalamus. The stria terminalis covers the thalamostriate vein, marking a line of separation between the thalamus and the caudate nucleus as seen upon gross dissection of the ventricles of the brain, viewed from the superior aspect. The stria terminalis extends from the region of the interventricular foramen to the temporal horn of the lateral ventricle, carrying fibers from the amygdala to the septal, hypothalamic, and thalamic areas of the brain. It also carries fibers projecting from these areas back to the amygdala. (http://en.wikipedia.org/wiki/Stria_terminalis)",,,,st,
:Category:Striatal cell bridges,Striatal cell bridges,,nlx_144099,,,Regional part of brain,":Category:Primate,:Category:Carnivore",Thin fingers of striatal matter seen within the fibers of the internal capsule running between the caudate nucleus and the putamen.,,,,,
:Category:Striatum,Striatum,"neostriatum,caudate putamen,dorsal striatum",birnlex_1672,,,Regional part of brain,:Category:Mammal,* Externally Sourced Definition: A region of the brain consisting of the phylogenetically newer part of the Corpus_striatum (Caudate_nucleus and Putamen).,,,,,
:Category:Striosomal compartment of neostriatum,Striosomal compartment of neostriatum,,nlx_146269,,,Regional part of brain,,,,,,,
:Category:Striosomal part of body of caudate nucleus,Striosomal part of body of caudate nucleus,,nlx_anat_1010004,,,Chemoarchitectural part of neostriatum,,,,,,,
:Category:Striosomal part of caudate nucleus,Striosomal part of caudate nucleus,striosomal compartment of caudate nucleus,nlx_anat_20090507,,,Regional part of brain,,,,,,,
:Category:Striosomal part of head of caudate nucleus,Striosomal part of head of caudate nucleus,,nlx_144187,,,Chemoarchitectural part of neostriatum,,,,,,,
:Category:Striosomal part of putamen,Striosomal part of putamen,,nlx_anat_20090508,,,Regional part of brain,,,,,,,
:Category:Striosomal part of tail of caudate nucleus,Striosomal part of tail of caudate nucleus,,nlx_144188,,,Chemoarchitectural part of neostriatum,,,,,,,
:Category:Striosome,Striosome,"Striosomal compartment,patch compartment",nlx_anat_20090506,,"Graybiel AM, Ragsdale CW Jr. Histochemically distinct compartments in the striatum of human, monkeys, and cat demonstrated by acetylthiocholinesterase staining.  Proc Natl Acad Sci U S A. 1978 Nov;75(11):5723-6.",Chemoarchitectural part of neostriatum,":Category:Carnivora,:Category:Primate","One of two compartments identified in the neostriatum, particularly the caudate nucleus, on the basis of differential staining for several biochemical markers such as acetylcholinesterase and calbindin.  In individual sections, the striosomes appear as small patches of differentially high or low staining activity.  In three dimensions, they form a 3D labyrinth extending throughout the caudate nucleus and in the putamen.",chemoarchitecture,,,,
:Category:Sub-lobar region,Sub-lobar region,,birnlex_1788,,,Lobe parts of cerebral cortex,,,,,,,
:Category:Subbrachial nucleus,Subbrachial nucleus,,nlx_anat_1005003,,,Regional part of brain,":Category:Mouse,:Category:Rat",A group of cells ventral to the nucleus of brachium of inferior colliculus in the mouse (Paxinos-2001).,,,,SubB,
:Category:Subcallosal area,Subcallosal area,"parolfactory area,adolfactory area",birnlex_919,,,Regional part of brain,,,,,,,
:Category:Subcommissural organ,Subcommissural organ,,birnlex_1028,,,Regional part of brain,,,,,,,
:Category:Subcuneiform nucleus,Subcuneiform nucleus,,birnlex_1441,,,Regional part of brain,,,,,,SubCn,
:Category:Subfascicular nucleus,Subfascicular nucleus,,birnlex_783,,,Regional part of brain,,,,,,SF,
:Category:Subfornical organ,Subfornical organ,,nlx_anat_100314,,,Circumventricular organ,:Category:Mammal,Group of neurons situated on the ventral surface of the fornix at the level of the foramen of Monro in the third ventricle (adapted from Wikipedia),,,,SFO,
:Category:Subicular complex,Subicular complex,,birnlex_944,,,Regional part of brain,,"A composite structure of the temporal lobe that includes the subiculum, the presubiculum and the parasubicular area (Amaral-90)",,,,,
:Category:Subiculum,Subiculum,Subicular cortex,birnlex_1305,,,Regional part of brain,,"Part of the hippocampal formation that is bounded by the entorhinal cortex and area CA1.  It is characterized on the CA1 border by an abrupt widening of the pyramidal cell layer. A molecular layer is present that is continuous with that of CA1, although the stratum radiatum is no longer present. The stratum oriens is also not present.  adapted from Paxinos, G. The rat central nervous system, 2nd ed, Academic Press, San Diego, 1995, pg. 468)",,,,,
:Category:Subiculum alveus,Subiculum alveus,alveus of subiculum,nlx_anat_1008013,,,Cytoarchitectural fields of hippocampal formation,,,,,,,
:Category:Subiculum molecular layer,Subiculum molecular layer,"molecular layer of subiculum,subiculum stratum moleculare",nlx_anat_1008007,,,Cytoarchitectural fields of hippocampal formation,,"Layer of the subiculum characterized by a paucity of cells lying superficial to the subiculum pyramidal cell layer.  It is continuous with the stratum radiaum and stratum moleculare-lacunosum of CA1.  Adapted from Paxinos, G. The rat central nervous system, 2nd ed, Academic Press, San Diego, 1995, pg. 468)",,,,,
:Category:Subiculum molecular layer inner,Subiculum molecular layer inner,"Inner subiculum stratum moleculare,inner layer of subiculum molecular layer",nlx_anat_1008009,,,Cytoarchitectural fields of hippocampal formation,,,,,,,
:Category:Subiculum molecular layer outer,Subiculum molecular layer outer,"outer layer of subiculum molecular layer,outer subiculum stratum moleculare",nlx_anat_1008008,,,Cytoarchitectural fields of hippocampal formation,,,,,,,
:Category:Subiculum pyramidal cell layer,Subiculum pyramidal cell layer,Subiculum stratum pyramidale,nlx_anat_1008010,,,Cytoarchitectural fields of hippocampal formation,,Layer of the subiculum cotnatining relatively densely packed pyramidal cells that is continuous with the pyramidal cell layer of CA1 but widens considerably compared to that in CA1.,,,,,
:Category:Subiculum pyramidal cell layer deep,Subiculum pyramidal cell layer deep,"deep subiculum stratum pyramidale,deep subiculum pyramidal cell layer",nlx_anat_1008012,,,Cytoarchitectural fields of hippocampal formation,,,,,,,
:Category:Subiculum pyramidal cell layer superficial,Subiculum pyramidal cell layer superficial,"Superficial subiculum stratum pyramidale,superficial pyramidal cell layer",nlx_anat_1008011,,,Cytoarchitectural fields of hippocampal formation,,,,,,,
:Category:Sublentiform nucleus,Sublentiform nucleus,,birnlex_1057,,,Regional part of brain,,,,,,,
:Category:Sublingual nucleus,Sublingual nucleus,nucleus of Roller,birnlex_2657,,,Nucleus of CNS,,,,,,"SLg, Ro",
